Timestamp,CPU Load (%),CPU Frequency (MHz),CPU Temp (°C),RAM Usage (MB)
2024-11-10 03:12:13.316930,10,2756.489944718012,52.1,2487.0685277258085
2024-11-10 03:12:14.319305,10,2814.2244089273986,51.0,2593.297898731
2024-11-10 03:12:15.321384,10,1838.3844540766731,51.0,2446.4330979405217
2024-11-10 03:12:16.323446,10,1429.9445685507576,50.5,1200.1047093258994
2024-11-10 03:12:17.325463,10,2889.899345107755,49.9,2758.206467012867
2024-11-10 03:12:18.327431,10,2079.185391594116,51.0,2524.6865466750564
2024-11-10 03:12:19.329348,10,2254.0783723049512,51.0,572.8073807051206
2024-11-10 03:12:20.331281,10,1841.4973241268885,50.5,2775.3276778487307
2024-11-10 03:12:21.333070,10,2248.81892948891,51.0,4021.4765576794975
2024-11-10 03:12:22.334911,10,1457.182536930518,52.1,1382.5083505067469
2024-11-10 03:12:23.336867,10,2161.8155081602945,49.9,3137.2821068371595
2024-11-10 03:12:24.338746,10,2294.5511151637297,52.1,819.0664393080867
2024-11-10 03:12:25.340553,10,2308.995611146734,50.5,3434.52145662597
2024-11-10 03:12:26.342324,10,1621.6771578294379,51.6,3123.3995223343754
2024-11-10 03:12:27.344098,10,1618.8751115413875,51.0,2253.8029517758205
2024-11-10 03:12:28.346066,10,2003.7576904995872,51.6,3650.1297836685594
2024-11-10 03:12:29.348044,10,2308.761888181926,51.6,879.3476831325677
2024-11-10 03:12:30.349946,10,1831.7749709978564,51.0,2810.2668103719225
2024-11-10 03:12:31.351829,10,1673.342153867493,51.0,2322.196298803267
2024-11-10 03:12:32.353789,10,2491.979152298236,51.0,1136.5160353521305
2024-11-10 03:12:33.355745,10,2168.775886073876,51.0,3435.2255662891575
2024-11-10 03:12:34.357668,10,1415.1994925103468,51.0,3077.289437987376
2024-11-10 03:12:35.359644,10,1926.0951031927389,51.0,3776.7551578533157
2024-11-10 03:12:36.361539,10,2634.474438379606,51.0,3842.585917130687
2024-11-10 03:12:37.363375,10,2929.203260992604,51.6,3441.004457449673
2024-11-10 03:12:38.365240,10,2404.702843904112,51.0,3207.6677855680564
2024-11-10 03:12:39.367087,10,1827.9084327707526,51.0,654.7668796987875
2024-11-10 03:12:40.368927,10,2513.0456397032394,51.0,3804.8231583570055
2024-11-10 03:12:41.370907,10,1498.9487238086713,51.0,3571.9447109390044
2024-11-10 03:12:42.372760,10,2835.682655136921,51.0,2797.9508661851196
2024-11-10 03:12:43.374632,10,1903.3757919500908,51.0,1861.4161446311628
2024-11-10 03:12:44.376525,10,1876.7960268683655,51.6,3270.197148488634
2024-11-10 03:12:45.378480,10,1946.956410261225,51.0,723.8577620076397
2024-11-10 03:12:46.380408,10,2850.064552668009,50.5,3410.402226044431
2024-11-10 03:12:47.382342,10,2963.5322325145235,49.4,1951.5283426548854
2024-11-10 03:12:48.384201,10,2289.0515635029446,51.0,1718.5528173317853
2024-11-10 03:12:49.386004,10,2965.900443161888,51.0,1409.5044109215978
2024-11-10 03:12:50.387797,10,2975.8892639617134,49.4,3007.9987418948995
2024-11-10 03:12:51.389709,10,1912.3814642969153,50.5,1953.1483720975014
2024-11-10 03:12:52.391628,10,2904.52397085726,51.6,3694.688961920458
2024-11-10 03:12:53.393640,10,1564.320973613623,51.0,1572.6090911677702
2024-11-10 03:12:54.395613,10,2740.51877752989,49.9,2370.678472563197
2024-11-10 03:12:55.397532,10,2524.265290894936,51.6,1503.5388472475474
2024-11-10 03:12:56.399391,10,1719.4097724517092,50.5,556.9567511896477
2024-11-10 03:12:57.401244,10,2614.2214053302746,51.0,3817.234237620384
2024-11-10 03:12:58.403128,10,1450.1371157135554,50.5,3533.2825610590453
2024-11-10 03:12:59.404989,10,2165.44326127973,49.4,1532.1477039921351
2024-11-10 03:13:00.407140,10,2072.5019326782194,50.5,523.8272282195892
2024-11-10 03:13:01.409005,10,2785.1443867897005,51.0,2098.305996227082
2024-11-10 03:13:02.411105,10,1579.4336561225991,51.0,1840.386200338917
2024-11-10 03:13:03.413019,10,2638.1950245679336,51.0,612.5788609027488
2024-11-10 03:13:04.414857,10,2131.981034007046,51.0,3591.3423001357946
2024-11-10 03:13:05.416745,10,2724.42034874294,51.6,1621.2054812955091
2024-11-10 03:13:06.418548,10,2207.966707958144,51.0,480.4658527410466
2024-11-10 03:13:07.421337,10,2458.749443326367,50.5,1580.8633696514921
2024-11-10 03:13:08.524502,10,2547.985634110344,49.9,1217.6205131729346
2024-11-10 03:13:09.526419,10,2435.824099680688,50.5,666.5875300720895
2024-11-10 03:13:10.528238,10,2362.1480930512566,51.0,829.9957296488833
2024-11-10 03:13:11.531101,10,1904.3852881126857,51.0,3276.0313172792235
2024-11-10 03:13:12.533935,10,1614.229712641293,51.0,1436.1558585738467
